Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
DIAG_COUNT,Count of Diagnoses,Number,,1989-90 onwards,,The total number of diagnosis codes present on the record (maximum of 20),2n = Count of diagnoses,RULE_8100,,AHAS_FLAT.dbo.AHAS_HES_APC_DIAG,,
DIAG_nn,Diagnosis Code,String(6),,1989-90 onwards,,"There are twenty diagnosis fields that can be populated per episode from April 2007 (fourteen between April 2002 and March 2007, and seven before April 2002), DIAG_01 to DIAG_20, which contain information about a patient's illness or condition. The field DIAG_01 contains the primary diagnosis, which represents the main condition treated or investigated during the episode. The other diagnosis fields contain secondary/subsidiary diagnoses. The codes are defined in the International Statistical Classification of Diseases, Injuries and Causes of Death (ICD). On episodes from 1st April 1995, codes from the tenth revision of ICD (ICD-10) are used. Prior to April 1995, the ninth revision (ICD-9) is used. 

ICD-10 diagnosis codes start with a letter and are followed by two or three digits. The third digit identifies variations on a main diagnosis code containing two digits. The third digit is preceded by a full stop in ICD-10, but this is not stored in this field. The fifth character should be used in accordance with the National Clinical Coding Standards for (ICD -10), where it is not used the character should be filled with a '-'. The sixth character of the code is used to designate an asterisk or dagger indicator in ICD -10; it may be an 'A' or 'D'. The fifth and sixth characters are not validated in HES, therefore invalid characters can appear in these positions.","4an to 6an = A valid ICD-9 or ICD-10 diagnosis code
R96X = Not known
R69X6 = Null (primary diagnosis only)
R69X8 = Invalid code submitted
R69X3 = Invalid (external cause code entered as primary diagnosis)
Null = Not applicable","RULE_0455, 
RULE_0460, 
RULE_0470, 
RULE_0490, 
RULE_0500, 
RULE_0510, 
RULE_0530, 
RULE_0630
RULE_0640, 
RULE_0850",,AHAS_FLAT.dbo.AHAS_HES_APC,,
DIAG_SEQ,Diagnosis Code Sequence,Number,,1989-90 onwards,,"This field is populated in the unpivoted diagnoses table, and allows users to identify the position of the DIAG_CODE on the record.",n = Diagnosis code sequence number,,,AHAS_FLAT.dbo.AHAS_HES_APC_DIAG,,
DISDATE,Date of Discharge,Date(YYYY-MM-DD),,1989-90 onwards,,The date on which the patient was discharged from hospital. It is only populated on the final episode of the spell.,"YYYY-MM-DD = Date of discharge
1800-01-01 = Null
1801-01-01 = invalid date submitted","RULE_0205, 
RULE_0210",,AHAS_FLAT.dbo.AHAS_HES_APC,,
DISDATE_UNCLN,Date of Discharge - Uncleaned,Date(YYYY-MM-DD),,1989-90 onwards,,The date on which the patient was discharged from hospital. This field contains the value of DISDATE that was originally submitted with the record and hence may be different from DISDATE if this has been cleaned.,"YYYY-MM-DD = Date
Null = Not known / not applicable",RULE_0006,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
DISDEST,Destination on Discharge,String(2),,1989-90 onwards,,A code to identify where the patient was due to go on leaving hospital. In most cases they return home. For many patients the discharge destination is the same as source of admission (ADMISORC).,"19 = The usual place of residence, including no fixed abode  
29 = Temporary place of residence when usually resident elsewhere, for example, hotels and residential educational establishments  
30 = Repatriation from high security psychiatric hospital (from 1999-2000)  
37 = Penal establishment - court (from 1999-2000)  
38 = Penal establishment - police station (1999-2000 to 2022-23)  
39 = Penal establishment - court and police station excluded (from 1999-2000)  
40 = Penal establishment
42 = Police Station / Police Custody Suite
48 = High security psychiatric hospital, Scotland (from 1999-2000)  
49 = NHS other hospital provider - high security psychiatric
50 = NHS other hospital provider - medium secure unit 
51 = NHS other hospital provider - ward for general PATIENTS or the younger physically disabled 
52 = NHS other hospital provider - ward for maternity PATIENTS or Neonates  
53 = NHS other hospital provider - ward for PATIENTS who are mentally ill or have learning disabilities 
54 = NHS run Care Home (retired in 2022-23)  
55 = Care Home With Nursing
56 = Care Home Without Nursing
65 = Local Authority residential accommodation i.e. where care is provided (retired in 2022-23)
66 = Local Authority foster care 
79 = PATIENT died or still birth 
84 = Independent Sector Healthcare Provider run hospital - medium secure unit
85 = Non-NHS (other than Local Authority) run Care Home (retired in 2022-23)
87 = Independent Sector Healthcare Provider run hospital - excluding medium secure unit
88 = Hospice
89 = ORGANISATION responsible for forced repatriation
98 = Not applicable - Hospital Provider Spell not finished at episode end (i.e. not discharged) or current episode unfinished
99 = Destination of Discharge Not Known","RULE_0205, 
RULE_0210, 
RULE_0006",,AHAS_FLAT.dbo.AHAS_HES_APC,,
DISDEST_UNCLN,Destination on Discharge - Uncleaned,String(2),,1989-90 onwards,,"A code to identify where the patient was due to go on leaving hospital.  This field contains the value of DISDEST that was originally submitted by the provider. It may contain codes that do not represent valid DISDEST codes and may be different to DISDEST, which is validated in HES.",See DISDEST for a list of codes that are valid in this field.,RULE_0006,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,Y,
DISMETH,Method of Discharge ,String(1),,1989-90 onwards,,The circumstances under which a patient left hospital. For the majority of patients this is when they are discharged by the consultant. This field is only completed for the last episode in a spell.,"1 = Patient discharged on clinical advice or with clinical consent
2 = Patient discharged him/herself or was discharged by a relative or advocate (retired in 2022-23)
3 = Patient discharged by a mental health review tribunal, Home Secretary or court
4 = Patient died
5 = Stillbirth
6 = Patient discharged himself/herself (available from 2022-23)
7 = Patient discharged by a relative or advocate (available from 2022-23)
8 = Not applicable - Hospital Provider Spell not finished at episode end (i.e. not discharged) or current episode unfinished
9 = Method of Discharge Not Known","RULE_0205, 
RULE_0210, 
RULE_0320,
RULE_0006",,AHAS_FLAT.dbo.AHAS_HES_APC,,
DISMETH_UNCLN,Method of Discharge - Uncleaned,String(1),,1989-90 onwards,,The circumstances under which a patient left hospital. This field contains the value of DISMETH that was originally submitted with the record and hence may be different from DISMETH if this has been cleaned.,"1 = Discharged on clinical advice or with clinical consent  
2 = Self discharged, or discharged by a relative or advocate  
3 = Discharged by a mental health review tribunal, the Home Secretary or a court  
4 = Died  
5 = Baby was still born  
8 = Not applicable: patient still in hospital  
9 = Not known: a validation error",RULE_0006,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,Y,
DISREADYDATE,Discharge Ready Date ,Date(YYYY-MM-DD),,2007-08 onwards,,"The date that a patient was medically ready for discharge from a hospital bed, but couldn't be discharged therefore qualifying for delayed discharge payments.",YYYY-MM-DD = Discharge ready date,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
DOB,Date of Birth,Date(YYYY-MM-DD),,1989-90 onwards,Yes,The patient's date of birth.,"YYYY-MM-DD = DOB
1800-01-01 = Null
1801-01-01 = invalid date submitted",RULE_0020,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
DOBBABY_n,Birth Date (Baby) ,Date(YYYY-MM-DD),,1989-90 onwards,Yes,Baby's date of birth. This field is populated on delivery episodes and events only (where the EPITYPE is 2 or 5). It is populated for each baby on multiple birth delivery episodes.,"YYYY-MM-DD = Birth date (baby)
Null = Invalid/not known","RULE_0670,
RULE_0770",,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
DOMPROC,HRG Dominant Procedure (Provider Derived),String(4),Y,2001-02 to 2008-09,,"The procedure that the Healthcare Resource Group (HRG) grouping algorithm has identified as having the greatest effect upon the resources consumed by a patient. This does not apply where no procedure was carried out

Different coding schemes can be used for codes that appear in this field. See the field PROCSCHEME for the coding scheme in use

This code was locally generated by the provider and is not validated in HES, therefore invalid codes can appear in this field","4an = Procedure code  
- = No operation performed  
& = Not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
DUPLICATE_FLAG,Duplicate Flag ,Number,,1889-90 onwards,,This field is for internal use only,,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR  AHAS_FLAT.dbo.AHAS_HES_APC_HIST,,
EARLDATOFF,Earliest Reasonable Date Offered,Date(YYYY-MM-DD),,2008-09 onwards,,"The date of the earliest of the reasonable offers made to a patient for an appointment or elective admission (a reasonable offer would include the offer of an appointment or admission for a time and date three or more weeks from the time that the offer was made; the patient accepting an appointment or admission date; the offer of a first appointment in a genitourinary consultant clinic in a sexual health and HIV episode; the offer of any appointment for treatment in a cancer treatment period). 

If the patient cancels or does not attend an appointment or admission, EARLDATOFF for the rearranged appointment or admission will be the earliest reasonable offer date of the cancelled appointment or admission.

If the health care provider cancels and re-arranges the appointment or admission, EARLDATOFF for the re-arranged appointment or admission will be the date of the earliest reasonable offer made following the cancellation.

This field should only be recorded if the patient has declined at least two reasonable offers, and a patient pause is to be applied to a Referral to Treatment period by the Secondary Uses Service.",YYYY-MM-DD = Earliest reasonable date offered,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
ELECDATE,Date of Decision to Admit ,Date(YYYY-MM-DD),,1989-90 onwards,,"The date on which a consultant, or another member of the clinical staff, decided to admit the patient to a hospital. The patient may or may not be admitted immediately. The time between ELECDATE and ADMIDATE (admission date) is known as the waiting time.","YYYY-MM-DD = Date of decision to admit
1800-01-01 = Null date submitted
1801-01-01 = invalid date submitted","RULE_0040,
RULE_0045",,AHAS_FLAT.dbo.AHAS_HES_APC,,
ELECDUR,Duration of Elective Wait (Derived),Number,,1989-90 onwards,,"The difference in days, derived in HES, between the date on which it was decided to admit the patient (ELECDATE) and the Admission Date (ADMIDATE). ELECDUR is only applicable where an elective admission (i.e. the Admission Method is 11, 12 or 13) was scheduled and took place.  It is not applicable to records that are ‘other maternity events’. ","max 4n = Duration of elective wait in days
9998 = Not applicable
9999 = Not Known (no date known for Decision to Admit)",,RULE_0271,AHAS_FLAT.dbo.AHAS_HES_APC,,
ELECDUR_CALC,Duration of Elective Wait (Calculation),Number,,1989-90 onwards,,"The ELECDUR excluding non-elective and planned admissions, this calculation only includes where the Method of Admission is 11 or 12 (elective). This field is only calculated on the first episode in a hospital provider spell, and regular admissions are also excluded.","4n = Waiting time in days from 1 to 8887
null = Not known / not applicable",,RULE_8009,AHAS_FLAT.dbo.AHAS_HES_APC,,
ELECDURN,Duration of Elective Wait (Submitted),Number,,1989-90 onwards,,"This submitted field contains the difference in days between the date on which it was decided to admit the patient (ELECDATE) and the actual admission date (ADMIDATE). ELECDURN is only applicable where an elective admission (i.e. the Admission Method is 11, 12 or 13) was scheduled and took place, however providers sometimes populate this field in error on episodes that were not elective. See the fields ELECDUR and ELECDUR_CALC for derived versions of the duration of elective wait.","max 4n = Duration of elective wait in days
9998 = Not applicable
9999 = Not known (i.e. no date known for decision to admit): a validation error
null = Not known / not applicable",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
ENDAGE,Age at End of Episode,Number,,1989-90 onwards,,"The patient's age, in completed years, at the end of a finished episode. This field is derived in HES from the Episode End Date (EPIEND) and the patient's Date of Birth (DOB). 

For patients under 1 year old, special codes in the range 7001 to 7007 apply.","nnn = Age in years
120 = 120 years or more
7001 = Less than 1 day  
7002 = 1 to 6 days  
7003 = 7 to 28 days  
7004 = 29 to 90 days (under 3 months)  
7005 = 91 to 181 days (approximately 3 months to under 6 months)  
7006 = 182 to 272 days (approximately 6 months to under 9 months)  
7007 = 273 to <1 year (approximately 9 months to under 1 year)  
Null = Not applicable (other maternity event) or not known",,RULE_0280,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
EPIDUR,Episode Duration,Number,,1989-90 onwards,,The difference in days between the Episode Start Date (EPISTART) and the Episode End Date (EPIEND).,"5n = Duration of episode in days from 0 to 29,200  
Null = Not applicable (other maternity event or not known)",,RULE_0251,AHAS_FLAT.dbo.AHAS_HES_APC,,
EPIEND,Episode End Date,Date(YYYY-MM-DD),,1989-90 onwards,,"The date on which a patient left the care of a particular consultant, for one of the following reasons: patient discharged from hospital (includes transfers) or moved to the care of another consultant. A null entry either indicates that the episode was unfinished at the end of the data year, or the date was unknown.","YYYY-MM-DD = Date episode ended
1800-01-01 = Null
1801-01-01 = invalid date submitted",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
EPIKEY,HES Record Identifier,"String(12) (1989-90 to 2020-21)
String(19) (2021-22 onwards)",,1989-90 onwards,,The record identifier created by the HES system.,"12n (1989-90 to 2020-21); 19n (2021-22 onwards) = Record identifier 
",,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR, AHAS_FLAT.dbo.AHAS_HES_APC_MAT, AHAS_FLAT.dbo.AHAS_HES_APC_OPER, AHAS_FLAT.dbo.AHAS_HES_APC,      AHAS_FLAT.dbo.AHAS_HES_APC_DIAG, AHAS_FLAT.dbo.AHAS_HES_APC_HIST,       AHAS_FLAT.dbo.HES_APC_ACP ",,
EPIORDER,Episode Order,Number,,1989-90 onwards,,"The order of the episode within the current spell. All spells start with an episode where EPIORDER is 1. Many spells finish with this episode, but if the patient moves to the care of another consultant, a new episode begins. Episode numbers increase by 1 for each new episode until the patient is discharged (this includes transfers to another NHS trust or primary care trust - i.e. the first episode in the new trust will have an EPIORDER of 01). If the same patient returns for a different spell in hospital, EPIORDER is again set to 01. Admissions are calculated by counting the number of times EPIORDER is 01. When studying long term care, remember that it is not unusual to transfer psychiatric patients from one hospital to another.","2n = The number of the episode in the sequence of episodes from 01-87  
98 = Not applicable  
99 = Not known: a validation error  
Null = Not applicable: other maternity event","RULE_0130, 
RULE_0140
RULE_0320",,AHAS_FLAT.dbo.AHAS_HES_APC,,
EPISTART,Episode Start Date,Date(YYYY-MM-DD),,1989-90 onwards,,"The date on which a patient was under the care of a particular consultant. If a patient has more than one episode in a spell, for each new episode there is a new value of EPISTART. However, the admission date which is copied to each new episode in a spell will remain unchanged and will be equal to the episode start date of the first episode in hospital.","YYYY-MM-DD = Date episode started
1800-01-01 = Null date submitted
1801-01-01 = invalid date submitted",RULE_0030b,,AHAS_FLAT.dbo.AHAS_HES_APC,,
EPISTAT,Episode Status,Number,,1989-90 onwards,,"A code to indicate whether the episode had finished before the end of the HES data year (i.e. whether the episode was still 'live' at midnight on 31 March). For example, if a patient was admitted on 25 March 2005 and was not discharged (or transferred to the care of another consultant) until 4 April 2005, there will be a record describing the unfinished episode (EPISTAT = 1) in the 2004-05 data, and a separate record describing the finished episode (EPISTAT = 3) in the 2005-06 data. Because hospital providers are advised not to include clinical data (diagnosis and operation codes) in unfinished records, these are normally excluded from analyses. Also, if unfinished episodes are included in time series analyses - where data for more than one year is involved - there is a danger of counting the same episode twice.","1 = Unfinished (until 2016-17)
3 = Finished  
9 = Derived unfinished (not present on processed data)",,RULE_0002,AHAS_FLAT.dbo.AHAS_HES_APC,,
EPITYPE,Episode Type,Number,,1989-90 onwards,,The type of episode,"1 = General episode (anything that is not covered by the other codes)  
2 = Delivery episode  
3 = Birth episode  
4 = Formally detained under the provisions of mental health legislation or long-term (over one year) psychiatric patients who should have additional information recorded on the psychiatric census (until 2016-17)
5 = Other delivery event 
6 = Other birth event","RULE_0150,
RULE_0160",RULE_0001a,AHAS_FLAT.dbo.AHAS_HES_APC,,
ETHNOS,Ethnic Category,String(1),,1991-92 onwards,,"The ethnicity of the patient, as specified by the patient.

From April 2001 the codes were changed to represent the ethnic data categories as defined in the 2001 census. However, HES continued to accept the old codes as well as the new codes for the 2001-02 and 2002-03 data years.

Prior to 1995-96, invalid codes may appear in this field. Ethnic category codes were not validated in HES before this date. ","From 2001-02 onwards:
A = British (White) 
B = Irish (White) 
C = Any other White background 
D = White and Black Caribbean (Mixed) 
E = White and Black African (Mixed) 
F = White and Asian (Mixed) 
G = Any other Mixed background 
H = Indian (Asian or Asian British) 
J = Pakistani (Asian or Asian British)
K = Bangladeshi (Asian or Asian British) 
L = Any other Asian background 
M = Caribbean (Black or Black British) 
N = African (Black or Black British) 
P = Any other Black background 
R = Chinese (other ethnic group) 
S = Any other ethnic group 
Z = Not stated
X = Not known (prior to 2013)
99 = Not known (2013 onwards)
From 1995-96 to 2000-01:
0= White
1 = Black - Caribbean 
2 = Black - African
3 = Black - Other 
4 = Indian 
5 = Pakistani 
6 = Bangladeshi 
7 = Chinese 
8 = Any other ethnic group 
9 = Not given 
99 = Not known ",RULE_0010,,AHAS_FLAT.dbo.AHAS_HES_APC,,
ETHNOSL,Ethnic Category (Local Code) ,String(1),,1997-98 to 2020-21,,"Ethnic category is supplied as a two-character field. This field contains the right-hand character, which is optional and defined locally.  The left-hand character should contain the national code, and can be found in the field ETHNOS.","1an = ethnic character, local code",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
ETHRAW,Ethnic Category (Raw),String(1),,2003-04 onwards,,"Ethnic category is supplied as a two-character field.  ETHRAW contains the raw left-hand character.  The right hand character is optional for use locally. A copy of the raw data found in the right hand character is held in ETHRAWL.

This field represents the raw code as submitted by the provider; it can contain codes that do not represent valid ethnic category codes. See the field ETHNOS for a validated and cleaned version of this field. ","A = British (White) 
B = Irish (White) 
C = Any other White background 
D = White and Black Caribbean (Mixed) 
E = White and Black African (Mixed) 
F = White and Asian (Mixed) 
G = Any other Mixed background 
H = Indian (Asian or Asian British) 
J = Pakistani (Asian or Asian British)
K = Bangladeshi (Asian or Asian British) 
L = Any other Asian background 
M = Caribbean (Black or Black British) 
N = African (Black or Black British) 
P = Any other Black background 
R = Chinese (other ethnic group) 
S = Any other ethnic group 
Z = Not stated
X = Not known (prior to 2013)
9 = Not known (2013 onwards)",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
FAE,Finished Admission Episode flag,Number,,1989-90 onwards,,"The Finished Admission Episode flag indicates whether the episode is a the first Finished Consultant Episode (FCE) in a hospital provider spell, i.e. the FCE where the patient was admitted to hospital. FAE is derived in HES, and is set to a value of 1 where FCE = 1 and the Episode Order (EPIORDER) = 1.","1 = Finished Admission Episode
0 = All other episodes",,RULE_8010b,AHAS_FLAT.dbo.AHAS_HES_APC,,
FAE_EMERGENCY,"Finished Admission Episode, Emergency Classification flag",Number,,1989-90 onwards,,"The Finished Admission Episode, Emergency Classification flag indicates whether the episode is a Finished Admission Episode (FAE) from an emergency admission. This is set to a value of 1 where FAE = 1 and the Method of Admission (ADMIMETH) begins with 2.","1 = Finished Admission Episode Flag where admission to hospital is from an emergency admission 
0 = All other episodes",,RULE_8010c,AHAS_FLAT.dbo.AHAS_HES_APC,,
FCE,Finished Consultant Episode flag,Number,,1989-90 onwards,,"A Finished Consultant Episode is a continuous period of admitted patient care under one consultant within a healthcare provider. FCE = 1 is the standard filter used for counting the number of finished episodes in HES. This field is derived in HES and is set to a value of 1 where the episode is finished (EPISTAT = 3), and regular attenders (where CLASSPAT = 3 or 4) are excluded.

Please note that FCEs do not represent the number of patients, as a person may have more than one period of care within the year.","1 = Finished Consultant Episode
0 = All other episodes",RULE_8010a,,AHAS_FLAT.dbo.AHAS_HES_APC,,
FDE,Finished Discharge Episode flag,Number,,1989-90 onwards,,"The Finished Discharge Episode flag indicates whether the episode is a Finished Consultant Episode (FCE) where the patient was discharged at the end of the episode. FDE is derived in HES, and is set to a value of 1 where FCE = 1 and the Method of Discharge (DISMETH) is 1-5.","1 = Finished Discharge Episode
0 = All other episodes",RULE_8010d,,AHAS_FLAT.dbo.AHAS_HES_APC,,
FIRSTREG,First Regular Day or Night Admission,String(1),,2002-03 onwards,,"A code to indicate whether the episode falls within a sequence of regular day and night admissions and, if so, whether it is the first or subsequent episode within the sequence.","0 = First in a series
1 = Subsequent to first in a series",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
FYEAR,Financial Year,String(4),,1989-90 onwards,,The financial year of the data. This is represented as the last two digits of the earlier year followed by the last two digits of the later year (e.g. 2008-09 is represented in this field as 0809),4n = Financial year,,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR,  AHAS_FLAT.dbo.AHAS_HES_APC_MAT, AHAS_FLAT.dbo.AHAS_HES_APC_OPER, AHAS_FLAT.dbo.AHAS_HES_APC,      AHAS_FLAT.dbo.AHAS_HES_APC_DIAG, AHAS_FLAT.dbo.AHAS_HES_APC_HIST,    AHAS_FLAT.dbo.HES_APC_ACP ",,
GESTAT_n,Length of Gestation,Number,,1989-90 onwards,,"The number of weeks completed gestation, based upon an average 40 week gestation, which may be derived from:
a) estimated date of delivery calculated by Ultrasound Scan measurements according to the trimester of the scan 
b) estimated date of delivery measured from the first day of last menstrual period (LMP) 
c) clinical assessment (in the absence of a or b) - antenatally for Maternity, postnatally for Neonatal

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6). It is populated for each baby on multiple birth delivery episodes.","2n = Number of weeks in the range 10 to 49  
99 = Not known: a validation error",,,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,
GORTREAT,Government Office Region of Treatment,String(1),,2002-03 onwards,,"The Government Office Region (GOR) of treatment, derived from the provider code (PROCODE). It indicates the GOR area within which the treatment took place.","A = North East  
B = North West  
D = Yorkshire and The Humber  
E = East Midlands  
F = West Midlands  
G = East of England  
H = London  
J = South East  
K = South West  
Y = Not known",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
GPPRAC,General Medical Practice (Patient Registration),String(6-8),,1997-98 onwards,,The general medical practice of the patient's registered GP. ,"6an - 8an = GP practice code (English GP's with codes commencing A-P only)  
V81997 = Patient not currently registered at a GP practice, but is eligible to be registered should they wish to
V81998 = Not applicable 
V81999 = Not known (submitted value) - where it is not possible to determine a patient's registered GP practice but it is known that they should have one, or where it is impossible to determine whether the patient should or should not have a registered practice (e.g. the patient cannot communicate and is unidentified)
& = Not known (derived in HES where no code was submitted)",RULE_0440,,AHAS_FLAT.dbo.AHAS_HES_APC,,
GPPRACHA,Health Authority of GP Practice,String(8),Y,1996-97 to 2020-21,,"The Health Authority (HA) area in which the patient’s GP practice is registered. It is derived from the GP practice code (GPPRAC).

In 2002 following a reorganisation of health areas, HAs were replaced by Strategic Health Authorities (SHAs). This field continued to be derived after this date as a ‘frozen’ geography. ","aaa or aan = Health Authority of GP practice  
Y = Unknown",,RULE_1110,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
GPPRACRO,Regional Office of GP Practice,String(8),Y,2002-03 to 2020-21,,"The Regional Office (RO) area in which the patient's GP practice is registered.  It is derived from the GP practice code (GPPRAC).

ROs were abolished in 2002. This field continued to be derived after this date as a ‘frozen’ geography. ","Y01 = Northern and Yorkshire Regional Office  
Y02 = Trent Regional Office  
Y07 = West Midlands Regional Office  
Y08 = North West Regional Office  
Y09 = Eastern Regional Office  
Y10 = London Regional Office  
Y11 = South East Regional Office  
Y12 = South West Regional Office  
Y00 = Unknown",,RULE_1120,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
GPPRPCT,Primary Care Trust of GP Practice,String(8),Y,1997-98 to 2020-21,,"The Primary Care Trust (PCT) area in which the patient's GP practice is registered. It is derived from the GP Practice Code (GPPRAC).

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5nn = PCT 
Taa = Care trust 
59898 = Not applicable (non-England) 
59999 = Unknown",,RULE_1125,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
GPPRSTHA,Strategic Health Authority of GP Practice,String(8),Y,1997-98 to 2020-21,,"The Strategic Health Authority (SHA) area in which the patient’s GP practice is registered. It is derived from the GP Practice Code (GPPRAC).

In 2013 following a reorganisation of health areas, SHAs were abolished. This field continued to be derived after this date as a 'frozen' geography.","3an = Strategic Health Authority  
S = Scotland   
U = England - not otherwise specified  
W = Wales  
X = Foreign (including Isle of Man and Channel Islands)  
Y = Unknown  
Z = Northern Ireland",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
GRIDLINK,Ordnance Survey Grid Reference,String(11),,2002-03 onwards,Yes,"The Ordnance Survey postcode grid reference of the patient's residence, derived in HES from the patient's postcode (HOMEADD).","9n = Ordnance Survey grid reference (4 digits eastings, 5 digits northings)",RULE_1200,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
HATREAT,Health Authority of Treatment ,String(3),Y,1989-90 to 2020-21,,"The Health Authority (HA) area where the treatment took place, derived from the provider code (PROCODE). Prior to 1st April 1996, this field contains the District Health Authority area of treatment. Note: for NHS providers, care provided at subsidiary sites will be attributed to the main trust location.

In 2002 following a reorganisation of health areas, HAs were replaced by Strategic Health Authorities (SHAs). This field continued to be derived after this date as a ‘frozen’ geography. ","3a = Health Authority area of treatment  
Y = Unknown",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
HESID,Patient identifier - HES generated ,Number,Y,Retired in 2021-22 - replaced by PERSON_ID for all years,Yes,"A unique identifier for each individual patient. It was generated by matching records for the same patient using a combination of NHS Number, Local Patient Identifier, Postcode of Patient, Current Gender of Patient and Date of Birth. A pseudonymised version of this field was made available in the field PSEUDO_HESID.

This field was replaced with the PERSON_ID field in 2021-22. HESID is no longer available in HES.",n = HESID,,,,,
HESID_ORIG,Patient  Identifier Origin - HES generated,Number,Y,1997-98 to 2001-02,,The basis on which HESID was identified. Not recommended for use.,,,,,,
HNEOIND,Healthy Neonate Indicator,String(1),,2011-12 onwards,,This derived field is a flag to indicate a healthy baby based on episode type (EPITYPE) '3' (Birth Episode) and '6' (Other birth event) and SUS Generated HRG (SUSHRG) with a value of 'PB03Z' (Healthy Baby).,"Y = Healthy Neonate
N = Not Healthy Neonate

If SUSHRG is null:
HNEOIND = Null ",,RULE_0830,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
HOMEADD,Postcode of Patient,String(8),,1989-90 onwards,Yes,"The patient's home postcode. If a patient is away from home for long periods, such as in a university hall of residence, the postcode of their typical residence is used instead. If the postcode contains fewer than eight characters, spaces are placed between the two parts of the postcode so that the second part always starts at the sixth character position.","8an = Postcode  
ZZ99 3CZ = England, GB, UK (not otherwise stated)  
ZZ99 3VZ = No fixed abode  
ZZ99 3WZ = Not known + sundry categories  
ZZ99 2WZ = Northern Ireland  
ZZ99 1WZ = Scotland  
ZZ99 3GZ = Wales  
ZZ99 NNN = Other pseudo codes used for patients normally resident abroad (where NNN is the country code listed in the NHS postcode directory)",RULE_0325,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,Y
HRGNHS,Healthcare Resource Group - Provider Derived,String(3),Y,2001-02 to 2008-09,,"The NHS-generated Healthcare Resource Group (HRG) code submitted to SUS by the provider. 

On activity up to the end of March 2009, HRG codes were generated and submitted by the provider and can be found in this field. From April 2009, HRG codes were generated automatically on submission to SUS. The SUS generated HRG can be found in the field SUSHRG. For HRG analysis on activity from April 2009 onwards, the SUSHRG field should be used instead of this one.",3an = Provider derived HRG,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
HRGNHSVN,Version Number of HRGNHS,String(3),Y,2001-02 to 2008-09,,The version number of the NHS-generated HRG code (HRGNHS).,3an = Version number of HRGNHS,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
IMD04,IMD Index of Multiple Deprivation,Decimal,,1997-98 onwards,,"The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Lower Super Output Area level. The IMD has seven domains. The English Indices of Deprivation provide a relative measure of deprivation at small area level across England. Areas are ranked from least deprived to most deprived on seven different dimensions of deprivation and an overall composite measure of multiple deprivation. The domains used in the Indices of Deprivation are: income deprivation; employment deprivation; health deprivation and disability; education deprivation; crime deprivation; barriers to housing and services deprivation; and living environment deprivation. Each of these domains has its own scores and ranks, allowing users to focus on specific aspects of deprivation. In addition, two supplementary indices measure income deprivation amongst children - the Income Deprivation Affecting Children Index (IDACI) - and older people - the Income Deprivation Affecting Older People Index (IDAOPI).

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 and M10 2022-23; IMD version 2019 from M11 2022-23.",nn.nn = IMD score,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
